safety_rule_id,rule_category,rule_name,applies_to_task_types,applies_to_levels,severity,rule_statement,when_to_apply,control_actions,evidence_of_compliance,notes_for_ai,source_basis,status
SAFE-001,general_workshop_control,Use task-appropriate PPE,ALL,L2;L3,high,Students and instructors must use task-appropriate personal protective equipment before starting practical work.,Before any practical task begins and whenever hazards change during the task.,Confirm required PPE; brief students on task-specific hazards; stop work if PPE is missing or unsuitable.,Instructor observation; pre-task check; PPE visible during task.,Always include PPE language in Preparation when hazards or tools justify it. Keep wording proportional to the task.,ICAO CBTA training emphasis on safe performance; FAA maintenance safety guidance; EASA maintenance safety expectations,approved_draft
SAFE-002,general_workshop_control,Verify work area readiness,ALL,L2;L3,high,"The work area, tools, training aids, and documentation must be checked for readiness before task execution.",Preparation stage.,"Check housekeeping, lighting, access, tool availability, equipment condition, and correct references.",Pre-task readiness check; instructor confirmation; completed setup.,Usually include as an early Preparation step.,FAA AMT safety practices; EASA maintenance data and personnel expectations,approved_draft
SAFE-003,documentation_control,Use current approved references,ALL,L2;L3,high,"Students must use the correct, current training or maintenance reference before and during task execution.",Preparation and Procedure stages.,Identify the applicable reference; verify revision/status where relevant; prevent work from memory alone.,Reference visible at workstation; student uses the reference during task; instructor observation.,"Very important for R/I, FOT, TS, MEL, and LOC tasks.",EASA Part-145 maintenance data expectations; FAA documentation and maintenance human factors guidance,approved_draft
SAFE-004,electrical_safety,Isolate electrical power before adjustment or connection changes,GP;FOT;TS;R/I,L2;L3,critical,"Electrical power must be isolated before changing circuit configuration, connecting meters incorrectly could create shock or short-circuit hazards.","Before configuration changes, meter insertion, component removal/installation, and many troubleshooting steps.",Power OFF; verify zero-energy state where applicable; connect measuring devices correctly; re-energize only when required and supervised.,Observed power isolation; correct meter connection; no live reconfiguration unless planned and controlled.,"Especially relevant for electrical fundamentals, avionics, and energized troubleshooting activities.",FAA electrical safety guidance and AMT maintenance safety practices,approved_draft
SAFE-005,electrical_safety,Never connect an ammeter in parallel,GP;FOT,L2;L3,critical,An ammeter must be connected in series only; parallel connection can create a short circuit and damage equipment or injure personnel.,Electrical measurement exercises and functional test tasks involving current measurement.,Instructor briefing before measurements; verify meter mode and leads; isolate circuit before insertion.,Correct circuit configuration; instructor observation; no equipment damage or unsafe current path.,Use when the task involves current measurement.,FAA electrical safety guidance; common AMT electrical measurement best practice,approved_draft
SAFE-006,stored_energy_control,Control stored energy and movement hazards,R/I;FOT;SGH;TS,L2;L3,critical,"Before practical work, identify and control stored energy, unintended movement, or mechanical release hazards.","Before removal/installation, operational tests, servicing, and troubleshooting on systems with motion or pressure.","Depressurize, secure, lock, support, isolate, or otherwise make the system safe before work begins.","Observed locks, supports, isolation, depressurization, or instructor verification.","Include for hydraulics, landing gear, control surfaces, pneumatic, and similar systems.",General aviation maintenance safety practice; EASA/FAA maintenance safety expectations,approved_draft
SAFE-007,tool_control,Maintain tool and equipment control,ALL,L2;L3,high,"All tools, meters, and loose items must be controlled before, during, and after the task to prevent omission or damage.","Whole task lifecycle, especially close-up.",Count tools where appropriate; return tools to assigned locations; do final check before sign-off.,Tool check completed; workstation clear; missing items resolved before close-up.,Close-up should usually mention tool/equipment check.,FAA maintenance human factors and tool control best practice,approved_draft
SAFE-008,fod_housekeeping,Maintain housekeeping and FOD control,ALL,L2;L3,high,"The work area must be kept clean, organized, and free from foreign object debris or unnecessary clutter.",Throughout the task and mandatory at close-up.,"Remove scrap, unused parts, wires, rags, and packaging; keep pathways clear; clean benches and training aids.",Clean area; no loose debris; instructor close-up inspection.,Always suitable for workshop-based training tasks.,FAA maintenance safety and human factors guidance,approved_draft
SAFE-009,human_factors,Stop and ask when unsure,ALL,L2;L3,medium,"Students must stop and seek instructor guidance when uncertain about a step, reference, or safety condition.",Any point where uncertainty or abnormal conditions arise.,Pause task; consult reference; request instructor check before proceeding.,Instructor interaction before continuing; observed escalation of uncertainty.,Useful as a general note in training-oriented tasks.,ICAO CBTA emphasis on safe performance; FAA maintenance human factors guidance,approved_draft
SAFE-010,test_control,Define test conditions before energizing or operating,FOT;TS,L2;L3,high,"Functional or troubleshooting activities must define setup, limits, expected indications, and stop criteria before the test begins.",Before test execution.,"Confirm configuration, instrument setup, expected range, abnormal-stop criteria, and instructor supervision.",Setup brief completed; correct instruments selected; results compared against criteria.,Important for FOT and TS tasks to prevent random testing.,FAA maintenance test discipline and documentation guidance; EASA maintenance data expectations,approved_draft
