ob_id,competency_code,competency_domain,ob_code,icao_observable_behaviour,adapted_observable_behaviour,learning_level,task_types,suitable_programs,interim_standard,final_standard,conditions,priority,status
OB-001,C1,Application of Procedures,1.1,Identifies correct processes and procedures associated with a specific task,Selects the correct maintenance procedure for a practical task,L2;L3,R/I;TS;FOT,EASA;GACA;UAS,Demonstrated during supervised workshop practical tasks with instructor guidance.,Demonstrated during summative workshop practical assessments with instructor supervision.,"Workshop/lab environment, standard tooling, instructor supervision.",,approved
OB-002,C1,Application of Procedures,1.2,Demonstrates proper use of documents,Uses maintenance manuals and documents correctly during tasks,L2;L3,LOC;R/I;TS;FOT,EASA;GACA;UAS,Demonstrated during supervised workshop practical tasks with instructor guidance.,Demonstrated during summative workshop practical assessments with instructor supervision.,"Workshop/lab environment, standard tooling, instructor supervision.",,approved
OB-003,C1,Application of Procedures,1.3,Applies system knowledge appropriately,Applies learned system theory while performing practical tasks,L2;L3,TS;FOT;R/I,EASA;GACA;UAS,Demonstrated during supervised workshop practical tasks with instructor guidance.,Demonstrated during summative workshop practical assessments with instructor supervision.,"Workshop/lab environment, standard tooling, instructor supervision.",,approved
OB-004,C1,Application of Procedures,1.5,Documents work performed or accomplished correctly,Completes task worksheets and records work correctly,L2,LOC;SGH;R/I,EASA;GACA;UAS,Demonstrated during supervised workshop practical tasks with instructor guidance.,Demonstrated during summative workshop practical assessments with instructor supervision.,"Workshop/lab environment, standard tooling, instructor supervision.",,approved
OB-005,C2,Work Management,2.1,"Plans, prioritizes and schedules tasks effectively",Organizes task steps logically before starting work,L3,R/I;TS,EASA;GACA;UAS,Demonstrated during supervised workshop practical tasks with instructor guidance.,Demonstrated during summative workshop practical assessments with instructor supervision.,"Workshop/lab environment, standard tooling, instructor supervision.",,approved
OB-006,C2,Work Management,2.3,Requests assistance when and where required,Asks the instructor for help when unsure,L2,ALL,EASA;GACA;UAS,Demonstrated during supervised workshop practical tasks with instructor guidance.,Demonstrated during summative workshop practical assessments with instructor supervision.,"Workshop/lab environment, standard tooling, instructor supervision.",,approved
OB-007,C2,Work Management,2.4,"Selects appropriate tools, equipment and resources to support efficient achievement of tasks",Selects correct tools and equipment for the task,L2;L3,R/I;LOC;SGH,EASA;GACA;UAS,Demonstrated during supervised workshop practical tasks with instructor guidance.,Demonstrated during summative workshop practical assessments with instructor supervision.,"Workshop/lab environment, standard tooling, instructor supervision.",,approved
OB-008,C2,Work Management,2.5,"Uses available tools safely, efficiently and effectively",Uses tools safely and correctly in the workshop,L3,R/I;SGH,EASA;GACA;UAS,Demonstrated during supervised workshop practical tasks with instructor guidance.,Demonstrated during summative workshop practical assessments with instructor supervision.,"Workshop/lab environment, standard tooling, instructor supervision.",,approved
OB-009,C2,Work Management,2.6,Inspects work area after completion of task,Cleans and inspects work area after completing tasks,L2,SGH;R/I,EASA;GACA;UAS,Demonstrated during supervised workshop practical tasks with instructor guidance.,Demonstrated during summative workshop practical assessments with instructor supervision.,"Workshop/lab environment, standard tooling, instructor supervision.",,approved
OB-010,C2,Work Management,2.8,Offers and accepts assistance when necessary and asks for help,Accepts and offers help to classmates when needed,L2,ALL,EASA;GACA;UAS,Demonstrated during supervised workshop practical tasks with instructor guidance.,Demonstrated during summative workshop practical assessments with instructor supervision.,"Workshop/lab environment, standard tooling, instructor supervision.",,approved
OB-011,C2,Work Management,2.9,Verifies that tasks are completed to relevant procedures,Checks completed work against maintenance procedures,L3,R/I;FOT,EASA;GACA;UAS,Demonstrated during supervised workshop practical tasks with instructor guidance.,Demonstrated during summative workshop practical assessments with instructor supervision.,"Workshop/lab environment, standard tooling, instructor supervision.",,approved
OB-012,C3,Situational Awareness,3.1,Maintains awareness of the maintenance environment,Remains aware of workshop environment and surroundings,L2,ALL,EASA;GACA;UAS,Demonstrated during supervised workshop practical tasks with instructor guidance.,Demonstrated during summative workshop practical assessments with instructor supervision.,"Workshop/lab environment, standard tooling, instructor supervision.",,approved
OB-013,C3,Situational Awareness,3.2,Maintains awareness of hazard situations,Identifies unsafe or hazardous situations in the workshop,L2,ALL,EASA;GACA;UAS,Demonstrated during supervised workshop practical tasks with instructor guidance.,Demonstrated during summative workshop practical assessments with instructor supervision.,"Workshop/lab environment, standard tooling, instructor supervision.",,approved
OB-014,C3,Situational Awareness,3.4,Verifies that information is accurate and assumptions are correct,Double-checks information before performing a task,L3,R/I;TS,EASA;GACA;UAS,Demonstrated during supervised workshop practical tasks with instructor guidance.,Demonstrated during summative workshop practical assessments with instructor supervision.,"Workshop/lab environment, standard tooling, instructor supervision.",,approved
OB-015,C3,Situational Awareness,3.6,Assesses situations and reports deviations,Reports mistakes or unusual situations to the instructor,L2,ALL,EASA;GACA;UAS,Demonstrated during supervised workshop practical tasks with instructor guidance.,Demonstrated during summative workshop practical assessments with instructor supervision.,"Workshop/lab environment, standard tooling, instructor supervision.",,approved
